track_uri|track_name|album_uri|album_name
5vWy90WX1eyfFUxnKcKSY9|Butterflies|5JyzoQIeXel4bM8tHEwkfW|Butterflies / This is the Place
3DKCTIiJ97bS9TGiqcABjo|Thiago Silva|6JYMpRz7M9T2JlkjKHmsdc|Thiago Silva
54TgI46OnNqcf0SyzQyCL6|Atlas|0EdtTRCl3J22AnWrNpH1w9|Isles
5kAwEqCAJ4yHdHmlAMSczs|These Are Just Places To Me Now|3na24PKpM5Bh0xwvIcpPms|Ordinary Drugs
4v0xLhFpCwzMbkr3Pi4rFF|Haze|58GqrBEuwUgc6bLCtjnaFt|Dream On
3JDsYB8UxGbMQNnNlAeDL0|Envelopes (Chapter VI) - Edit|1A6VtF2OjVmEKErfTrNZYJ|Envelopes
75G7fv2RaXXHhJquge8el4|Red Velvet|6MzcHgrr8goFUrmGdOrKb2|Somewhere Between The Light
0s2HlRZzjWlhmfLdp4rDEy|Gettin' It Done|6c94J2yum9wHxmbSB27YXE|You'll Understand
4sWJCVOn705QUBCDt81bPB|O'Neal|1meEABy5Nr83dO5CZ3Qf5u|Rearview EP
0Ti5dBBZUpK0XRb0iabhtI|Emerald City|6flyNGuaD68IYuEVNGwqkh|Colourspace
3NVuffIbZCOXgRsM4eS0fo|Infinitas|4olQWXC3W8iaZfzGyzkN0Y|Tangerine
0fgdLj6TQmB6OV2zwaAndB|Sesame|4olQWXC3W8iaZfzGyzkN0Y|Tangerine
3LcknqF77tB6aujEAEVjX2|Doobies - Original Mix|120ozXpjN4VsLf74eVQ8TO|The Story About You
3iEycGSA32xeOQnDltNTZk|Providence|0nMSpPdITwRrpzvBBjVByd|Fixation
4cpUsHfE4q4Amwkc2OO6xI|About Time|1v6BipCE7YBMOBcAN0j0EH|Fading Love
7s2ya9MwplKU6zogZYkxVH|Weed & Rum|5TL5mPJjOPiQCcZzEpfuaU|RTRN II JUNGLE
3ci50Uo5nIeoS7vRFDolwJ|Shudder|2GlEPxglf73hK8VPTNuK3V|City Soul
5UanRSNw6tqDNqczV7SDqT|One Day At A Time|5Jd375gdtvoIJmrzc2aYJb|Little Spaces
2T0bSlNbNY8mFy1UbK1tTV|Lucid|5F6QAb3h5OcviQtVJDd4tV|Stratos EP
1eCyb7V10a2lqcA49JaHnU|Blinded|27G11z8Aco6n1IAbONn0ES|Devil's Night EP
0DeCgH8St1bnHVry9gecMp|BMW|3U3FSuGS2CXktQD4fU78gM|BMW
0IuVhCflrQPMGRrOyoY5RW|she's all i wanna be|51oWPUjnGhecw62V8LDXK8|she's all i wanna be
0P88fVbvRQGgRQN1GulQNy|Glad U Came (feat. ZieZie)|52JvEc5EDwgA854xVckQL9|Glad U Came (feat. ZieZie)
0QBzMgT7NIeoCYy3sJCof1|Bam Bam (feat. Ed Sheeran)|6FIMt58naoGYrOe4Wn2P3n|Bam Bam (feat. Ed Sheeran)
18asYwWugKjjsihZ0YvRxO|The Motto|278z9UXJaMNDH9Bel9uAxV|The Motto
1BSMpVGWs3v5BZKnAQziAc|Light Switch|6PBwTu4IgZMQNTKtrgxzZQ|Light Switch
1Dp7ASSZVVOPJ85VdLpjOX|Seventeen Going Under|4RS1iWb2MC9o21z3t8zxl4|Seventeen Going Under
1HvTxgCj0mTzQlEo0zLvFb|In My Head|5pK7kqzGXSY7xoLMhfHlql|In My Head
1jTrQnMziyawXMHjd6y4R1|Come & Go|1iOQNkFxtPkiZDYq9RZDyV|Come & Go
20on25jryn53hWghthWWW3|Do It To It|58cd90Jkrovggh556JPN9L|Do It To It
2Gg9UhRTym4rztR9vU0Pvu|Gangsteritus|2IHcdrRhnzXoH8ilmhWujM|Thanks For Waiting
2iHsdUnmKGIuc9oRE3DfgJ|House On Fire|4zZ3DDacL1IvmaozxYEGuL|House On Fire
3FMedgGsLUNwx8NciePFEK|Reggae & Calypso (Russ Millions x Buni x YV)|7edXlHrpkf5btwVVy1nO3k|One Of A Kind Music Presents: Reggae & Calypso (Russ Millions x Buni x YV)
3o9kpgkIcffx0iSwxhuNI2|Numb Little Bug|20zaiRxxUfDqdCKsdSo7HM|Numb Little Bug
3pudQCMnsFGwOElTZmuml8|Baby|4ag07Nbz1xUcFWU17JNh1r|Baby
3rmo8F54jFF8OgYsqTxm5d|Bad Habits|32iAEBstCjauDhyKpGjTuq|=
3sa06xVNmLLYIxdNNmVQN8|Where Did You Go? (feat. MNEK)|5vSLX6JljaSXuRY2Wqi6xL|Where Did You Go (feat. MNEK)
3uUuGVFu1V7jTQL60S1r8z|Where Are You Now|5YrOK7zze6egKg9a8WRcnD|Where Are You Now
4CUX44NA1CPEzd0ibMLQsL|Make Me Feel Good|2YNIYdATkvFpTKZexocmEi|Make Me Feel Good
4hJhHbkhZFnxmWbAkZRoe0|Peru|5SLXbErenG3tJrVdIMpQHk|Peru
50ZFpw2wS6ERvLmW8TINhq|Beg For You (feat. Rina Sawayama)|0ffmwwS9EBmpLAgjblX75O|Beg For You (feat. Rina Sawayama)
531KGXtBroSrOX9LVmiIgc|Starlight|1WLS1NrOlbDIl760hVeeUi|Starlight
53O5nAlq04RKmSBqW0SFvG|Down Under (feat. Colin Hay)|52L8AnUkPWl7FGDlZjNAnJ|Down Under (feat. Colin Hay)
59CfNbkERJ3NoTXDvoURjj|Boyfriend|4jUfPmvZGiRRJwULbfk1dc|Boyfriend
5iFQfP3AqVnHHS89LKQisL|Anyone For You (Tiger Lily)|7H1EYBP5XYudqRhjL5vG5j|Anyone For You (Tiger Lily)
6CDzDgIUqeDY5g8ujExx2f|Heat Waves|69K1zrf6TkXHdYUO8n2qVi|Heat Waves
6IlL9Xlnm0Oq6wXSe6TH9v|Used To This|48vV65b1zjT4lCeO5MplHm|Used to This
6N1K5OVVCopBjGViHs2IvP|The Joker And The Queen (feat. Taylor Swift)|0vkAczpFKCazPKaoLtnBr0|The Joker And The Queen (feat. Taylor Swift)
6oYXbji1rn7U6bFuNYekpQ|Run|7JCAQ1ISjY2Le5hcXUmU0L|Run
75MNhvTCCKsST3YqqUiU9r|Shivers|531c37GGv5IvddCvBv3sWT|Shivers
7z5G2LOdV8okZn4yWg3q5g|Night Away (Dance) (feat. Tion Wayne)|6WQPgcOtZCoXGBZQOxDJQ0|Night Away (Dance) (feat. Tion Wayne)
3ie4EBzk6a4sdNOpWKhkeA|Clouds|6Ifae2tRjg49lTQ9390iOD|What We Call Life
2t9bMYh6ZJGfAZPKJGnby0|Romeo (feat. Bas)|1hykVcbmenjAoG7wwoXmCV|Loving In Stereo
5Fpn28eEVPqWLiwQmGmWpz|I Want A Love Like This|1eq2IYUBMX1mincEtLL06J|I Want A Love Like This
5rcGQIrv6eUIyCBfWga363|Borderline|6vlatUhYlcoUkMfNIvmtLE|Origin (Deluxe Edition)
633Oe7gtfWB8lq1Vxyiahm|Once|2FJj7NVoRCAwjFus0O1BXd|Day/Night
0ON4FYmS4Zch1NV0lhv9hX|"Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto"|4eEJooUkzenp7lZTtfbIP7|The Four Seasons
5Io3OKuzK712xD001Hthzk|The Line|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
2gXYLIrLrHVViRCnbh8kCQ|NowIcaresomemore|2FJj7NVoRCAwjFus0O1BXd|Day/Night
3HghfkXDzz7gYCo4Xir8vI|Teletype|27kg8Ig4ENnxyayLAjVK8q|Teletype
1r9xUipOqoNwggBpENDsvJ|Enemy (with JID) - from the series Arcane League of Legends|1bTgKomQYSkKYPD9UI9W4b|Enemy (with JID) [from the series Arcane League of Legends]
1Uxti0PEEdieT526B8dAxZ|Somethinggreater|2FJj7NVoRCAwjFus0O1BXd|Day/Night
6OnEsU4yuFEIuuK1pzZ0z5|Family|6Ifae2tRjg49lTQ9390iOD|What We Call Life
6xTp4nC8NBRSYMxGqIikSh|Caroline|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
4Oih3RDrSFg3afaOphBVuy|What Could Have Been feat. Ray Chen (from the series Arcane League of Legends)|3MdiH74FL8mhlbnR6DcqJd|Arcane League of Legends (Soundtrack from the Animated Series)
64I9byMYBlS1ARsC3vtpgW|Ottolenghi|1kokRXXxrJzhxdMo0vsVDV|Not Waving, But Drowning
6W1CYXq9pGEnNNCCW62xu8|Comingback|2FJj7NVoRCAwjFus0O1BXd|Day/Night
37pShAS4iuRXJeRAa9k6xw|Black Dog|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
6TUBc3txhVoWVEqF1n44gS|Drawbridge|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
4GaVb4spqse4hOwiHpWXVC|Caruso|3gZv6Vq2Q2a300JEUV8Dq9|Classic
0EvZksFiDpboeG4UVaIvJa|Theworstthing|2FJj7NVoRCAwjFus0O1BXd|Day/Night
1HHIv96gVeVkoOBzQeH9d8|Too Good|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
2xJAj1Q2IQBzGN39fNPdK8|Bluish|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
5V3tf148hVOh00STK506Di|Big Nothing Glow|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
14tNhGhMYj6W5pPfdQoBmN|LIGHT|2FJj7NVoRCAwjFus0O1BXd|Day/Night
3Lw7kxX6di4Gpbvuq4FK4S|Teletype|1eq2IYUBMX1mincEtLL06J|I Want A Love Like This
4lMlDOQZpMM6aFjucarRNA|Bad Friday|1eq2IYUBMX1mincEtLL06J|I Want A Love Like This
5FUyn3zZNR2DxcJGsfJ9A8|Bad Friday|27kg8Ig4ENnxyayLAjVK8q|Teletype
0JSG8Hu6aMidPm1QRqboQD|Inthecity (Interlude)|2FJj7NVoRCAwjFus0O1BXd|Day/Night
0wJmkLWgEP4y30WIPZqWuV|Waiting On Design|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
1WqYuxgkAV11lZDTM8DQj0|Easy Money|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
6kAOOamDflxqkrAWI6wZRR|Free|2FJj7NVoRCAwjFus0O1BXd|Day/Night
6pIem0QfCkJMl4ug4byHhk|Confirmation|1KzaV3sPuiCAzByFtnfRtz|Confirmation
6ZVVax9sMTB6HPKu36eYZs|Hurt|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
3VdzKymHyCA7OQdUiDREKF|Rise|3sGDniFo4e5r0bwmSL2upZ|The Dark Knight Rises
168kXtIBw4nEJnvmR8nZBs|Think I'll Stay|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
4NIIFmGWg2JjE68rSPtSPI|Blue Comanche|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
2HpDcssMlgQXfmAUYhePIP|I Wonder Why|1N7U7alOZtbA2m3AyAPEXf|I Wonder Why
0gcNTflElPYcxajA1LelYd|Confirmation (SSBD)|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
644es5aYPJghtZLjM1rmSP|Concerning Hobbits|04rz93AqGy9JduzV3K81Dh|The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)
5rYTMjVkGioNF4MpSQISlg|Desoleil (Brilliant Corners)|1kokRXXxrJzhxdMo0vsVDV|Not Waving, But Drowning
2FR4RtRGnsJ8a3UodZ5UPc|Dream Appropriate|45gjNMd3mAP0zyTQMOQdGk|Your Hero Is Not Dead
6QzjpDOcw3iNEpThhku00y|Memento Mori|5tuCsC7rIetZYlOrfyOQtq|Memento Mori
3tbVwFLSct63LhbI2mU50s|Far and Beyond|3j0aL8TLtJ43y0Yd2gGz7O|Charles Bolt
0sT4slW2xWai3EwVSiuL9Y|Eugene|42joEEymK7EIHODfNB4yug|Collapsed In Sunbeams
5MlY3mwE2eQlmaYHONLTaO|Forth Eorlingas|1zIoYLpYOq8d4HFzHJ7vc8|The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack)
47w6S27JF4Zvrz1Wd6R66Z|What Kinda Music|6iOCv7oGL5sGi2aVnRz2BI|What Kinda Music
6GyFP1nfCDB8lbD2bG0Hq9|Midnight City|6EB14IXV5oyOiItGBv7mtG|Hurry up, We're Dreaming
26ka7pzhIonUoQFYjB6PbG|Free - Single Version|2FJj7NVoRCAwjFus0O1BXd|Day/Night
6rJ0Zq5u7DeZmkC6YDwJFF|Tarfala|4fSemSaJXbkH1gjX71waLy|Tarfala
3O5JIwSON3KBaoyMUsjLjn|Midnight Mischief - Tom Misch Remix|3ssz8pi55szsiCBRpJr4xV|Midnight Mischief (Tom Misch Remix)
26QK5v5NHjnYOzKEdTZ7d3|Topshottas Freestyle|6J3iXdsFvuhSl7HjDoIwEn|Topshottas Freestyle
6Ex1t4s0LsfPH3sSGH44fR|Storm (before they blow)|35lk8UQ9Z5KXYZkJR4jyoH|Sound Waves
3EaTPPQacnTrLkxx37PzCl|Billionaire|35lk8UQ9Z5KXYZkJR4jyoH|Sound Waves
1qzlwbV6SwHYOR3mhu6ZEd|'97 Hov|5OsHMGOg6lRV9REoVxbcWA|Tana Talk 3
3ZLyt2ndLFBh148XRYjYYZ|All We Got (feat. Kanye West & Chicago Children's Choir)|71QyofYesSsRMwFOTafnhB|Coloring Book
7LFtQkNNBFQW42iJgCkUIT|On Time|1IBd4WIcI94PJ63zNxsfkn|On Time
0JJnuR0JEA4CW8wkbUdgak|Round Here|3pD0TA3tAutL7Bi2Ng8SPb|Training Day 3
4RyhgKioN2DEKpF1Fo6iqG|Breaking Bad (Okay)|3WN4R900GY9WGhMcSFY4sX|DON'T SLEEP
7c521vBOcemu5hGQQRGNwS|Wraith-Ful|0bwlrhBRjtqdy4eTlfg2UD|Reject 2
1Y1lfD897czmPqULtHS7E7|Heartbroken|5zS1u2oihFYN3jXgKh5lAC|Heartbroken
7i4jMVQC5XIUKLNO0knsp3|CR|1zkvGzVydD792tZYCFdLPD|From Church Rd. to Hollywood
4ZPdLEztrlZqbJkgHNw54L|Good Life|4SZko61aMnmgvNhfhgTuD3|Graduation
3yaEcxsLmNJ8cM1AOK2YkM|Run It Back|2WLvpNSNvBlAAo6whCpJZj|Run It Back
2044mxQGxi3ZlCdATO9oOm|12 Summers|5pAvOdUwa9xzmVxSl4k6DN|Bags and Boxes 4
0mEdbdeRFQwBhN4xfyIeUM|Can't Tell Me Nothing|4SZko61aMnmgvNhfhgTuD3|Graduation
220nV8q14qKgmvr3RVVfAG|Boiling Water|7dRsoxZh9lwTixb4gSiyX9|Boiling Water
5SKL6OEcW5Bq3cR5cQSLcg|I Lost My Way|332qdKF1ZPpCQSUAJuoVp3|I Lost My Way
41aEJVUVNjhvZlECWDQZgW|My Hood|1P29D0CPo7YeQnUUL13SEh|Durt
6MM73mlpacofW3BvXdfg4H|Figure It Out|35lk8UQ9Z5KXYZkJR4jyoH|Sound Waves
0xRkwcfbkjkotOx0tjkabD|Science|3pD0TA3tAutL7Bi2Ng8SPb|Training Day 3
4o5eNOwFkYospayeNeDKCv|Intro|6IJOvlTs2BmWbnEok2EE7e|Bags and Boxes 3
1W1kD2w2kmci8kvNQjkeZ5|That's Just How You|3dZcJ2H4RhOew56RFDqqac|That's Just How You
5tWEHNtuGsgxu7bEWeavTi|Intro|5pAvOdUwa9xzmVxSl4k6DN|Bags and Boxes 4
60xaS8mYBKUW4VQQ666N0T|All Night (feat. Knox Fortune)|71QyofYesSsRMwFOTafnhB|Coloring Book
1Hcu2NeyCTqcvk2UByNzIR|Sorry! (I Didn't Know) - Original Radio Edit|1bzhoN9vur8qy0l7TCnnid|Sorry
5SkRLpaGtvYPhw02vZhQQ9|All Falls Down|4Uv86qWpGTxf7fU7lG5X6F|The College Dropout
2pRyjmTGkz5i8xemOtJ7pG|Touch The Sky|0Ds6i3h0F9RcYIKAD5Olum|Late Registration
3Z1MKCjnO1Aw9e21QYZ6HN|When I Was Little|3pD0TA3tAutL7Bi2Ng8SPb|Training Day 3
5DBmXF7QO43Cuy9yqva116|Family Business|4Uv86qWpGTxf7fU7lG5X6F|The College Dropout
5g1vtHqi9uV7xtYeCcFOBx|Jesus Walks|4Uv86qWpGTxf7fU7lG5X6F|The College Dropout
0wLqCXZ8Zzle480YkbgbjO|Critical|35lk8UQ9Z5KXYZkJR4jyoH|Sound Waves
6EoFsgJWu7UkMhviTmiuLH|Wondering Why|4qd7qNROsKzrvtlQEH9vam|Wondering Why
0NrtwAmRAdLxua31SzHvXr|Everything I Am|4SZko61aMnmgvNhfhgTuD3|Graduation
1eQBEelI2NCy7AUTerX0KS|Ultralight Beam|7gsWAHLeT0w7es6FofOXk1|The Life Of Pablo
2M4SHrRorlzwCJ7Qgdx5mL|Real Rapper|3pD0TA3tAutL7Bi2Ng8SPb|Training Day 3
2u2O4rCC8HHtksOngcsrOl|Midnight On Ilford Lane|3pD0TA3tAutL7Bi2Ng8SPb|Training Day 3
3Osd3Yf8K73aj4ySn6LrvK|No Church In The Wild|2P2Xwvh2xWXIZ1OWY9S9o5|Watch The Throne (Deluxe)
7dFCRLk7ZMxDqOL9HEueGL|Show Me|7fL4Bvxutn9ZMuVbYGvsMp|Fades
6m9qPYXmhge2QhBLfFKnVF|Same Drugs|71QyofYesSsRMwFOTafnhB|Coloring Book
6vegnfDS8DAEaCqWaPYGPy|Otis|2P2Xwvh2xWXIZ1OWY9S9o5|Watch The Throne (Deluxe)
55wfPTbRxC65e2OsiCRz1g|Years Deep|3pD0TA3tAutL7Bi2Ng8SPb|Training Day 3
5sNESr6pQfIhL3krM8CtZn|Numb / Encore|4lhyg7YGQagE8FT8cZBqyw|Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course
0dAn58pe2GWDTlqa2Th4mP|Babycakes|4sW39hh7uYqe8zDg7ylPAW|Babycakes
4iz9lGMjU1lXS51oPmUmTe|Homecoming|4SZko61aMnmgvNhfhgTuD3|Graduation
4mmkhcEm1Ljy1U9nwtsxUo|Through The Wire|4Uv86qWpGTxf7fU7lG5X6F|The College Dropout
6uFn47ACjqYkc0jADwEdj1|Pop Out (feat. Lil Tjay)|26ztFK3E69j5THJQdyxC5w|Die A Legend
6SH4fVTSXabHXgKb0wrWCP|By Any Means|17rPZ8BYMT9wRKOORSjy2C|Statue of Limitations
0j2T0R9dR9qdJYsB7ciXhf|Stronger|4SZko61aMnmgvNhfhgTuD3|Graduation
2MSGuAG12HVVyRu5m5n2QS|96 Bars of Revenge|74tH17Nt4hF80FKeLUlEoE|History:
3A4cpTBPaIQdtPFb5JxtaX|Slow Jamz|4Uv86qWpGTxf7fU7lG5X6F|The College Dropout
