track_uri|track_name|artist_uri|artist_name|album_uri|album_name|popularity|danceability|energy|speechiness|instrumentalness|tempo|acousticness|duration_ms|key|liveness|loudness|mode|time_signature|valence
4LH1gsNA3wUS6QKkGZoJN8|XXL|4r63FhuTkUYltbVAg5TQnk|DaBaby|1NsTSXjVNE7XmZ8PmyW0wl|KIRK|57|0.914|0.655|0.294|0.0|143.975|0.00245|153863|6|0.0817|-5.333|0|4|0.705
1qOLh0tI7trd1zdDKxYZTe|Starving|5p7f24Rk5HkUZsaS3BLG5F|Hailee Steinfeld|3Nuw6arrA8kVwhIvyGbiku|HAIZ|0|0.636|0.633|0.126|0.0|99.721|0.371|181880|4|0.102|-4.23|1|4|0.512
0YHUITU3w6ws1v8ehT264g|Shout Out to My Ex|3e7awlrlDSwF3iM0WBjGMp|Little Mix|2GJLzxAajkFeyDPVH7X4Cs|Glory Days (Deluxe)|0|0.774|0.739|0.0952|5.95e-06|126.002|0.0316|246240|0|0.119|-4.022|1|4|0.823
7M16mAuWuFA5rC9HvkXaGx|You Don't Know Me|4Q6nIcaBED8qUel8bBx6Cr|Jax Jones|6g7W3OT9BzZFULW0c3kjGb|You Don't Know Me|0|0.877|0.658|0.132|0.0|123.994|0.163|211935|11|0.0967|-6.055|0|4|0.693
06GcodDliPWAYFX2LSFLIu|Vertigo|6LuN9FCkKOj5PcnpouEgny|Khalid|2Qxc2NJ7yPKVFRWi3llRr2|Suncity|51|0.487|0.458|0.0371|0.0257|115.989|0.552|270413|4|0.117|-7.761|0|4|0.207
6A8dnC0xkiuWN4BshmTB2I|Oceans Away|7hOGhpa8RMSuDOWntGIAJt|A R I Z O N A|2FNk380jCQyICbwtkOdEHE|GALLERY|64|0.617|0.642|0.0334|0.157|105.885|0.13|194013|8|0.0929|-8.624|1|4|0.221
2oPQVgCTYqA4FBknwAroWf|Saint Laurenttt|7rkW85dBwwrJtlHRDkJDAC|NAV|0jk3nAmtiIfwLU4CvDDMaS|Good Intentions|53|0.843|0.529|0.0515|1.48e-05|97.971|0.317|170536|7|0.284|-7.476|1|4|0.289
32OWobmyAz8J2qA8iWekyS|Mistletoe|1uNFoZAHBGtllmzznpCI3s|Justin Bieber|1wEnjjF0dtWufdTzWeQAm2|Under The Mistletoe (Deluxe Edition)|0|0.666|0.543|0.0446|0.0|161.947|0.511|182947|6|0.0911|-9.188|0|4|0.881
6HWGLValLZlHVPjbwEW4Kq|The Last Of The Real Ones|4UXqAaa6dQYAk18Lv7PEgX|Fall Out Boy|0QVVaNm7WlojUMyVhoRNHz|M A N I A|0|0.572|0.88|0.0481|0.0|115.073|0.00548|230400|8|0.18|-5.213|1|4|0.546
7tTRFVlFzk6yTnoMcParmi|JUST LIKE YOU|6fOMl44jA4Sp5b9PpYCkzz|NF|7eQGtkzCgrIWDOe76E9F8t|CLOUDS (THE MIXTAPE)|74|0.775|0.757|0.228|0.0|140.044|0.489|251237|9|0.28|-4.607|0|4|0.541
5kI4eCXXzyuIUXjQra0Cxi|betty|06HL4z0CvFAxyc27GXpf02|Taylor Swift|2fenSS68JI1h4Fo296JfGr|folklore|74|0.593|0.377|0.0253|0.0|95.939|0.6|294521|0|0.0976|-8.761|1|4|0.502
0bI7K9Becu2dtXK1Q3cZNB|Don't Be Shy|2o5jDhtHVPhrJdv3cEQ99Z|Tiësto|2TvfE8CY37OQIPVGcWYpEA|Don't Be Shy|89|0.77|0.787|0.0583|0.0|119.986|0.198|140500|11|0.262|-3.748|0|4|0.513
6zZhlOWizcEG1T7zsTdI6N|IDGAF|2kCcBybjl3SAtIcwdWpUe3|Lil Peep|52JymrguPgkmmwLaWIusst|Come Over When You're Sober, Pt. 2|64|0.615|0.66|0.032|0.0|115.037|0.0298|214293|9|0.106|-5.55|0|4|0.185
0ROE31C8Wu4neZoR9stM9e|Sasuke|4O15NlyKLIASxsJ0PrXPfz|Lil Uzi Vert|6hUnGxVRgPgUfctjN19fIE|Sasuke|56|0.859|0.477|0.428|0.0|145.979|0.00414|251336|1|0.0819|-6.116|1|4|0.153
22oEJW6r2rMb9z4IntfyEa|Hey Look Ma, I Made It|20JZFwl6HVl6yg8a4H3ZqK|Panic! At The Disco|6ApYSpXF8GxZAgBTHDzYge|Pray for the Wicked|72|0.577|0.833|0.0695|0.0|107.936|0.0137|169667|5|0.121|-3.337|1|4|0.58
0qJeyYAgv6UpvewUxRXAhb|Rags2Riches 2 (feat. Lil Baby)|45TgXXqMDdF8BkjA83OM7z|Rod Wave|6DxSrvqVwXO3SmFDSGuLAi|Pray 4 Love (Deluxe)|5|0.874|0.443|0.241|0.0|118.004|0.147|235988|5|0.124|-9.628|0|4|0.298
2c6xRsQBv7pynuhYhWoHxo|Woman Like Me|4dpARuHxo51G3z768sgnrY|Adele|21jF5jlMtzo94wbxmJ18aa|30|72|0.594|0.37|0.173|3.2e-05|145.601|0.749|300248|4|0.132|-10.561|0|4|0.329
2MpaGhvIcWxGpTppgQWM1D|GEHT NICH GIBS NICH|5p7mWeX4RlvqBCxylfiXdE|KC Rebell|37LpNRbh1TvEoCGnRO4VcI|GEHT NICH GIBS NICH|48|0.73|0.594|0.347|0.000417|139.855|0.0793|180160|1|0.128|-9.04|1|4|0.427
2dl5K2ScW7jYhAhuem06cm|PROBLEMA|4VMYDCV2IEDYJArk749S6m|Daddy Yankee|62qqk2oK0GGO0AwWqUIqrJ|PROBLEMA|73|0.773|0.8|0.0987|0.00403|89.988|0.0613|184507|10|0.0327|-3.17|0|4|0.842
3Zf4GutWZ7Hv3wsVQsSQPs|BEBÉ|28gNT5KBp7IjEOQoevXf9N|Camilo|1PuH88Md0tzB8UrnBfboJA|Mis Manos|71|0.862|0.72|0.0361|0.0|129.993|0.476|197284|4|0.0543|-4.155|1|4|0.967
6De0lHrwBfPfrhorm9q1Xl|Me Rehúso|5H1nN1SzW0qNeUEZvuXjAj|Danny Ocean|4RrvIEhnaHKpFxsjXc4D7d|Me Rehúso|81|0.744|0.804|0.0677|0.0|104.823|0.0231|205715|1|0.0494|-6.327|1|4|0.426
5RqR4ZCCKJDcBLIn4sih9l|Party Girl|1XLWox9w1Yvbodui0SRhUQ|StaySolidRocky|4NPX54YtocHqTOq6yXDEFM|Party Girl|76|0.728|0.431|0.0622|0.0|130.022|0.749|147800|6|0.0996|-9.966|0|4|0.629
1v3lhrZEsOcazqR2QIyyRu|De Una Vez|0C8ZW7ezQVs4URX5aX7Kqx|Selena Gomez|2jGa3OwXatFYQAIS7OV7k9|Revelación - EP|68|0.659|0.479|0.2|0.0025|163.882|0.152|155956|11|0.268|-6.79|0|4|0.0395
3dQDid3IUNhZy1OehIfYfE|Vacaciones|3E6xrwgnVfYCrCs0ePERDz|Wisin|6k0mxvr3REgMTOT08V7mFj|Vacaciones|0|0.772|0.909|0.166|0.0|96.031|0.256|238800|6|0.255|-3.225|0|4|0.694
4sbtM9ORGwmxGkXfctXbJq|NO FUN|3MZsBdqDrRTJihTHQrO6Dq|Joji|34GQP3dILpyCN018y2k61L|BALLADS 1|67|0.809|0.483|0.0487|0.0|96.974|0.8|168418|5|0.221|-6.886|1|4|0.715
6ZtrGCcn38kGImt2GPFbJB|Shot In The Dark|711MCceyCBcFnzjGY4Q7Un|AC/DC|1Rz3Q2PIhrCs21itNShUxB|Shot In The Dark|61|0.599|0.787|0.0338|5.27e-05|114.065|2.07e-05|185133|2|0.064|-4.708|1|4|0.822
4QdovcM8j50QPlyR7tH4xe|You & Me|3tQx1LPXbsYjE9VwN1Peaa|Marc E. Bassy|07BmX119kPbbYsZPzISvqw|Groovy People|0|0.693|0.65|0.192|0.0|85.026|0.0398|218480|1|0.186|-8.376|1|4|0.663
6Oq4fiDzKaFMU89dTvM24u|Audacity (feat. Headie One)|2SrSdSvpminqmStGELCSNd|Stormzy|3y4AaloFccKNLQcZNS9L8c|Heavy Is The Head|66|0.678|0.516|0.444|0.0|133.939|0.0523|245920|1|0.13|-4.601|1|4|0.11
23jEeXRyrjFbfs2Q8tBwdI|Physical (feat. Hwa Sa)|6M2wZ9GZgrQXHCFfjv46we|Dua Lipa|6apIJi4hf7U6cBOFwIqq1b|Physical (feat. Hwa Sa)|59|0.661|0.873|0.0482|0.00164|146.943|0.0288|193697|0|0.136|-3.333|1|4|0.687
3gdewACMIVMEWVbyb8O9sY|Rocket Man (I Think It's Going To Be A Long, Long Time)|3PhoLpVuITZKcymswpck5b|Elton John|2ei2X6ghPnw7YRwQtAH075|Honky Chateau|84|0.601|0.532|0.0286|6.25e-06|136.571|0.432|281613|10|0.0925|-9.119|1|4|0.341
5MoU7TaAvgBa8W0XVwXAd7|Trust|7gOdHgIoIKoe4i9Tta6qdD|Jonas Brothers|1Uf67JAtkVWfdydzFFqNF2|Happiness Begins|47|0.806|0.559|0.0588|1.63e-05|146.041|0.0248|180600|0|0.135|-6.329|1|3|0.671
2V1nJCtknnPvSFUJ0a7BUk|44 More|4xRYI6VqpkE3UwrDrAZL8L|Logic|5J5dCs40wmvzrdNboqiaIK|44 More|0|0.831|0.566|0.214|0.0|139.986|0.077|188613|1|0.101|-7.094|1|4|0.247
3I7tLVbxJlrRUum7JdPJvH|La Cintura|2urF8dgLVfDjunO0pcHUEe|Alvaro Soler|7713OxSVfBt5JnARHdEg0q|Mar de Colores|0|0.706|0.845|0.0692|0.0|100.015|0.0201|204660|6|0.358|-4.102|0|4|0.742
5LciLoxa1gK70yIUeoHgRx|To My Love - Tainy Remix|5n9bMYfz9qss2VOW89EVs2|Bomba Estéreo|7jo5KFYHLHpbVX0glLHiIA|Amanecer (Remixed)|71|0.764|0.59|0.0395|0.00847|99.996|0.129|251773|7|0.0851|-4.292|1|4|0.281
42SOtYBdnfj9zEdZSlAq5k|Finally // beautiful stranger|26VFTg2z8YR0cCuwLzESi2|Halsey|68enXe5XcJdciSDAZr0Alr|Manic|59|0.626|0.55|0.029|0.0|133.976|0.051|221096|9|0.118|-5.105|0|4|0.123
0WhDotK0QXigmsrlw0DxKK|Evoluiu|2UMj7NCbuqy1yUZmiSYGjJ|MC Kevin o Chris|30hPMwyrsLPasI6413LJ6W|Evoluiu|61|0.776|0.465|0.434|0.0|149.829|0.466|179644|7|0.363|-6.368|0|4|0.694
11o2y87vqODipLK98a1v34|All Day And Night - Jax Jones & Martin Solveig Present Europa|4Q6nIcaBED8qUel8bBx6Cr|Jax Jones|1SJwQGcL8CpUz0SLbLWVS3|Snacks|0|0.585|0.782|0.0897|0.0|121.908|0.269|169303|1|0.156|-4.101|0|4|0.521
6qdMhG7pRFi0csRlFGvLE4|MILLE – feat. Orietta Berti|3pgCLfNbw5ozIfoNsvDU7i|Fedez|4hxHffYYs32MfS9C1H5l6q|MILLE – feat. Orietta Berti|68|0.527|0.764|0.322|0.0|184.339|0.016|175924|2|0.0273|-4.297|1|4|0.829
4eqne0oIdt9GW2ubiliny0|"Have Yourself A Merry Little Christmas - ""Meet Me In St. Louis"" Original Cast Recording"|0hItVPjwJLVZrFqOyIsxPf|Judy Garland|1VND54ojnKw7YyWMJdfpLA|The Complete Decca Masters (Plus)|0|0.273|0.161|0.0357|0.000905|64.16|0.961|162200|6|0.112|-16.091|1|4|0.111
6zegtH6XXd2PDPLvy1Y0n2|Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)|66CXWjxzNUsdJxJ2JdwvnR|Ariana Grande|4NBuascXb3uK0mFUYuJ63f|Charlie's Angels (Original Motion Picture Soundtrack)|72|0.644|0.755|0.0448|7.64e-06|102.861|0.00237|190067|1|0.0859|-5.325|1|4|0.334
1HfMVBKM75vxSfsQ5VefZ5|Lose You To Love Me|0C8ZW7ezQVs4URX5aX7Kqx|Selena Gomez|3tBkjgxDqAwss76O1YHsSY|Lose You To Love Me|27|0.505|0.34|0.0438|0.0|101.993|0.576|206459|4|0.21|-9.005|1|4|0.0916
5MDgHT305bgpZSCz9mYo1X|Bring Me Love|5y2Xq6xcjJb2jVM54GHK3t|John Legend|3wanKGZXsWXr6ZKdQrDtGu|A Legendary Christmas: Deluxe Edition|0|0.498|0.856|0.416|0.0|191.404|0.193|199253|2|0.158|-6.257|1|4|0.598
55ZcA6PazdlXjE1jO5GrzJ|Ashley|26VFTg2z8YR0cCuwLzESi2|Halsey|68enXe5XcJdciSDAZr0Alr|Manic|55|0.663|0.531|0.0827|0.0|125.014|0.137|186188|7|0.146|-6.339|1|4|0.366
4I5bvu2KDsrCg0EWHIcvul|Don't Play|1zNqDE7qDGCsyzJwohVaoX|Anne-Marie|707Yo7tTEf4TYZVIVde1uM|Don't Play|67|0.695|0.784|0.0402|0.0|128.031|0.0889|188581|6|0.0843|-6.564|0|4|0.52
7hU3IHwjX150XLoTVmjD0q|MONEY|5L1lO4eRHmJ7a0Q6csE5cT|LISA|66OYt73mqan1hWa78BhfPd|LALISA|87|0.831|0.554|0.218|6.12e-05|140.026|0.161|168228|1|0.152|-9.998|0|4|0.396
3Dwq1oiOFys6Sxr5SslmXw|Carolina|6KImCVD70vtIoJWnq6nGn3|Harry Styles|1FZKIm3JVDCxTchXDo5jOV|Harry Styles|74|0.624|0.673|0.0268|1.54e-06|121.986|0.000569|189613|4|0.104|-4.017|0|4|0.458
7CC6UbCs4iGsePSzFxYxNn|Moon|5K4W6rqBFWDnAN6FQUkS6x|Kanye West|5CnpZV3q5BcESefcB3WJmz|Donda|81|0.319|0.236|0.0318|1.62e-05|162.351|0.898|156091|5|0.272|-9.644|1|4|0.254
51Fjme0JiitpyXKuyQiCDo|Lalala|6USMTwO0MNDnKte5a5h0xx|Y2K|4WlC4FXhonJhNTXCQPGP3r|Lalala|79|0.843|0.39|0.0846|0.0|129.972|0.178|160627|2|0.137|-7.899|1|4|0.495
4YLtrBhzjsI2LT6ybXQHeD|SoulMate|31TPClRtHm23RisEBtV3X7|Justin Timberlake|2FljC0wx1bLyT6GW3FDQFX|SoulMate|53|0.765|0.784|0.0488|0.00121|109.956|0.0222|196232|7|0.187|-5.215|0|4|0.449
1aKuG1GG76xPLUkjBbQo3W|UGH!|3Nrfpe0tUJi4K4DXYWgMUX|BTS|6mJZTV8lCqnwftYZa94bXS|MAP OF THE SOUL : 7|34|0.72|0.824|0.128|0.0|165.998|0.0394|225012|10|0.0509|-5.086|0|4|0.333
2p8IUWQDrpjuFltbdgLOag|After Hours|1Xyo4u8uXC1ZmMpatF05PJ|The Weeknd|4yP0hdKOZPNshxUOjY0cZj|After Hours|79|0.664|0.572|0.0305|0.00604|108.959|0.0811|361027|5|0.121|-6.099|0|4|0.143
6AGON2BGdPmPMJGiiNuuwl|Immortal|6l3HvQ5sa6mXTsMTB19rO5|J. Cole|3CCnGldVQ90c26aFATC1PW|4 Your Eyez Only|68|0.744|0.43|0.309|2.73e-06|92.039|0.455|201667|3|0.126|-10.604|0|4|0.266
4hPpVbbakQNv8YTHYaOJP4|One Thing Right|64KEffDW9EtZ1y2vBYgq8T|Marshmello|4QAC6FquY8D0RXom13iE5J|One Thing Right|77|0.659|0.625|0.045|0.0|88.042|0.0644|181824|4|0.582|-2.253|1|4|0.442
14P8s5aiDr32gcQ5ESaYBO|Puste sie weg|4lDiJcOJ2GLCK6p9q5BgfK|Kontra K|3yKybyKCNzWBaf882YeO4w|Puste sie weg|0|0.82|0.693|0.0996|0.0366|92.456|0.0708|191103|2|0.0906|-6.808|1|4|0.575
7FjZU7XFs7P9jHI9Z0yRhK|So Close|5jAMCwdNHWr7JThxtMuEyy|NOTD|4ZIaWbFnkMozASM1CA59K6|So Close (feat. Georgia Ku)|74|0.7|0.872|0.0666|7.08e-06|125.03|0.121|190302|10|0.103|-5.896|1|4|0.761
0fgsKar6uBO08vzHXkTjWi|P FKN R|4q3ewBCX7sLwd24euuV69X|Bad Bunny|5lJqux7orBlA1QzyiBGti1|YHLQMDLG|73|0.82|0.635|0.0772|0.0|101.024|0.409|258280|5|0.244|-5.749|0|4|0.528
0RFFFGtPn6a58RHY3ccVYX|Si Tu Novio Te Deja Sola|1vyhD5VmyZ7KMfW5gqLgo5|J Balvin|4gKs7N7J13JBxm7GYBLFEU|Si Tu Novio Te Deja Sola|0|0.716|0.461|0.0614|0.0|121.99|0.545|243560|3|0.102|-9.455|0|4|0.535
4C4n9gQPyjP7gMzldsjp4a|Ain't It Different (feat. AJ Tracey & Stormzy)|6UCQYrcJ6wab6gnQ89OJFh|Headie One|066XCkY2VUxaJHf5g3tHJx|EDNA|0|0.767|0.564|0.27|2.35e-05|77.034|0.0101|196200|4|0.11|-6.794|0|4|0.557
1OilOIju6R9ia8vilNjChh|Beautiful|4GvEc3ANtPPjt1ZJllr5Zl|Bazzi|1psfXtJLKUMVzQPMgXfB38|Beautiful|0|0.666|0.677|0.0326|0.0|100.014|0.214|178242|2|0.0979|-5.743|1|4|0.178
3w1WjD2zJqjBjDz5fwqQPJ|Tyler Herro|2LIk90788K0zvyj2JJVwkJ|Jack Harlow|5g2INX6dnMIJG0xKygXwF3|Thats What They All Say|79|0.792|0.793|0.0841|0.0|123.031|0.0872|156578|5|0.22|-6.185|0|4|0.775
0oB9964bp22Bmok0Dmxlzb|Lay Your Head On Me (feat. Marcus Mumford)|738wLrAtLtCtFOLvQBXOXp|Major Lazer|1okJLjW2q0KbARmSd9EH3V|Lay Your Head On Me (feat. Marcus Mumford)|49|0.658|0.765|0.0469|1.02e-05|119.974|0.0471|199895|11|0.0936|-7.002|0|4|0.222
0pYUyZ3aQR1fAOdhXfoD3R|Somebody|1uNFoZAHBGtllmzznpCI3s|Justin Bieber|0w1dwXfG5z6Xjjgj524JkD|Justice|59|0.547|0.753|0.0463|8.72e-05|75.999|0.000286|179415|2|0.12|-7.677|1|4|0.375
41wtwzCZkXwpnakmwJ239F|Si Veo a Tu Mamá|4q3ewBCX7sLwd24euuV69X|Bad Bunny|5lJqux7orBlA1QzyiBGti1|YHLQMDLG|86|0.9|0.603|0.0646|4.81e-06|129.928|0.402|170972|2|0.134|-5.313|1|4|0.824
6IZvVAP7VPPnsGX6bvgkqg|PRIDE.|2YZyLoL8N0Wb9xBt1NhZWg|Kendrick Lamar|4eLPsYPBmXABThSJ821sqY|DAMN.|81|0.665|0.535|0.0572|1.68e-05|138.842|0.0786|275253|4|0.154|-7.056|0|4|0.37
7vu0JkJh0ldukEYbTVcqd0|Issues|0ZED1XzwlLHW4ZaG4lOT6m|Julia Michaels|1qyjZGIeeLJlXbYWuoloWj|Nervous System|78|0.728|0.415|0.0639|0.0|114.145|0.401|176320|8|0.0616|-6.852|1|4|0.455
4O4HtthxTvVL1Z1PuDb7GX|Old Town Road (feat. Billy Ray Cyrus) - Remix|7jVv8c5Fj3E9VhNjxT4snq|Lil Nas X|3J0nEHIZoQW1tA2Pabgjoz|7 EP|11|0.878|0.619|0.102|0.0|136.041|0.0533|157067|6|0.113|-5.56|1|4|0.639
7r55d7IhAj5UGKiYbXBwRP|Prinzessa|4WZGDpNwrC0vNQyl9QzF7d|Capital Bra|0065dqIv0oHpm5UWFLI6wx|Prinzessa|54|0.732|0.583|0.125|1.97e-05|100.464|0.519|178000|7|0.108|-6.766|1|4|0.277
1AqemxWsT0iGg5Lvkm16Bt|Fukk Sleep (feat. FKA twigs)|13ubrt8QOOCPljQ2FL1Kca|A$AP Rocky|3MATDdrpHmQCmuOcozZjDa|TESTING|73|0.798|0.412|0.36|7.43e-05|135.959|0.443|192973|2|0.219|-9.305|1|4|0.304
7vWbERTWGCiu6fil02e9kj|Not 20 Anymore|64M6ah0SkkRsnPGtGiRAbb|Bebe Rexha|50fjXOO6vhakOGaz3ATZlM|Not 20 Anymore|52|0.659|0.553|0.0286|5.1e-06|89.978|0.43|183983|11|0.198|-4.809|0|3|0.401
7IP0lO9tHfNwBWZ9X6TJ84|Single Again|0c173mlxpT3dSFRgMO8XPh|Big Sean|0AIFISfeloajgVP5fB9ulV|Single Again|62|0.635|0.677|0.0909|0.0|94.95|0.161|213733|10|0.154|-5.548|1|4|0.253
7foypmc7KZyU716Yv63BPe|Saint|6extd4B6hl8VTmnlhpl2bY|Huncho Jack|6FED8aeieEnUWwQqAO9zT1|Huncho Jack, Jack Huncho|67|0.866|0.648|0.0543|0.0|150.058|0.009|140793|1|0.0967|-3.675|1|4|0.0798
4obHzpwGrjoTuZh2DItEMZ|7 Summers|4oUHIQIBe0LHzYfvXNW4QM|Morgan Wallen|6JlCkqkqobGirPsaleJpFr|Dangerous: The Double Album|76|0.466|0.786|0.0328|6.1e-05|203.903|0.417|210507|0|0.125|-5.13|1|4|0.571
38YP1STiBe3AZevFFJILf4|Weiss|6h1s4i4XKIYv4ErDelLDN0|Samra|6IwzywE6n6cq6cit7CTdR5|Weiss|57|0.6|0.525|0.423|0.0|96.989|0.393|162702|2|0.111|-6.585|0|4|0.436
3M9Apu4OZfylLTFKvgEtKa|Ritual|2o5jDhtHVPhrJdv3cEQ99Z|Tiësto|0efvl0HsK2xxttk4IVOJry|Ritual|72|0.647|0.726|0.0552|0.0|114.996|0.157|198996|3|0.0844|-4.389|0|4|0.767
5UusfWUMMLEXLMc1ViNZoe|@ MEH|699OTQXzgjhIYAHMy9RyPD|Playboi Carti|3hXfBV9COJBTj5rnIh7wcC|@ MEH|65|0.876|0.492|0.153|0.000283|151.044|0.0136|166799|11|0.0678|-8.11|0|4|0.4
5jbDih9bLGmI8ycUKkN5XA|Perfect|4xRYI6VqpkE3UwrDrAZL8L|Logic|5pF05wJrbrIvqunE41vWP8|No Pressure|71|0.769|0.829|0.0661|6.65e-05|159.943|0.00948|100291|0|0.301|-5.228|1|4|0.648
6y6k14YN6MbKpGIv1Rk00Q|How You Like That|41MozSoPIsD1dJM0CLPjZF|BLACKPINK|1AkGUEtocePYti6xefsECx|How You Like That|2|0.828|0.782|0.0918|3.41e-05|130.013|0.0694|181264|11|0.0544|-4.014|1|4|0.351
5IF6IBPqbclVR7SQKmCIyA|Just Like You|57WHJIHrjOE3iAxpihhMnp|Louis Tomlinson|1VZoGsObyr7YAZOmP8DYEZ|Just Like You|62|0.703|0.628|0.203|0.0|138.032|0.364|205217|0|0.384|-5.914|1|4|0.471
4eWQlBRaTjPPUlzacqEeoQ|Never Be the Same|4nDoRrQiYLoBzwC5BhVJzF|Camila Cabello|2vD3zSQr8hNlg0obNel4TE|Camila|78|0.637|0.713|0.0747|0.000637|129.923|0.181|226973|0|0.137|-4.333|1|4|0.243
5MFzQMkrl1FOOng9tq6R9r|Don't Wanna Know|04gDigrS5kc9YWfZHwBETP|Maroon 5|0fvTn3WXF39kQs9i3bnNpP|Don't Wanna Know|0|0.783|0.623|0.08|0.0|100.048|0.338|214480|7|0.0975|-6.126|1|4|0.447
4V6MRo0CEAC9MwAm7dkPuL|Real Friends|4nDoRrQiYLoBzwC5BhVJzF|Camila Cabello|5yv7CeuVtzTi3SbOjCMOJH|Real Friends|60|0.74|0.303|0.117|0.0|91.958|0.835|213933|3|0.0782|-8.612|1|4|0.819
